  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
============================================================================
   1    2    0  100.00 100.00     2      2    2      0      2     1    50.00
   2    4    0  100.00 100.00     5      5    5      0      4     4   100.00
   3   72    0   87.67  87.67    64     73   73      8     72    72   100.00
   4   16    0   87.50  87.50    14     16   16      1     16    16   100.00
   5   25    0  100.00 100.00    30     30   30      0     25    25   100.00
   6   16    0  100.00 100.00    17     17   17      0     16    16   100.00
   7   19    0   94.74 100.00    18     19   18      0     19    19   100.00
   8   39    0   86.21  86.21    25     29   29      4     39    39   100.00
   9   17    0   94.12  94.12    16     17   17      0     17    17   100.00
  10   18    0   93.33  93.33    14     15   15      0     18    16    88.89
  11   51    0   93.88  90.20    46     49   51      0     51    49    96.08
  12   23    0   95.24 100.00    20     21   20      0     23    23   100.00
  13   10    0  100.00 100.00    10     10   10      0     10    10   100.00
  14   27    0  100.00  90.48    19     19   21      0     27    26    96.30
  15   20    0  100.00 100.00    15     15   15      0     20    17    85.00
  16   18    0   85.71  85.71    12     14   14      1     18    16    88.89
  17   27    0  100.00 100.00    27     27   27      0     27    27   100.00
  18   21    0  100.00 100.00    18     18   18      0     21    21   100.00
  19    5    0  100.00 100.00     6      6    6      0      5     5   100.00
  20   27    0   91.67  88.00    22     24   25      1     27    25    92.59
  21   19    0  100.00  94.12    16     16   17      0     19    19   100.00
  22   33    0   92.86  96.30    26     28   27      0     33    30    90.91
  23    7    0  100.00 100.00     7      7    7      0      7     7   100.00
  24   35    0   93.33  90.32    28     30   31      0     35    35   100.00
  25   21    0   85.00  80.95    17     20   21      0     21    21   100.00
  26   16    0  100.00 100.00    15     15   15      0     16    16   100.00
  27    5    0  100.00 100.00     5      5    5      0      5     5   100.00
  28   10    0  100.00 100.00     8      8    8      0     10    10   100.00
  29   16    0  100.00  84.62    11     11   13      0     16    16   100.00
  30   24    0   90.00  90.00    18     20   20      0     24    23    95.83
  31   10    0   90.00  90.00     9     10   10      0     10     9    90.00
  32   11    0  100.00 100.00     9      9    9      0     11    10    90.91
  33   13    0   90.00  90.00     9     10   10      0     13    13   100.00
  34   20    0  100.00 100.00    18     18   18      0     20    20   100.00
  35   15    0  100.00 100.00    13     13   13      0     15    15   100.00
  36   21    0  100.00 100.00    15     15   15      0     21    21   100.00
  37   14    0  100.00 100.00    13     13   13      0     14    14   100.00
  38   19    0  100.00 100.00    19     19   19      0     19    19   100.00
  39    7    0  100.00 100.00     7      7    7      0      7     7   100.00
  40    7    0  100.00 100.00     9      9    9      0      7     7   100.00
  41    6    0  100.00 100.00     8      8    8      0      6     6   100.00
  42   15    0  100.00  93.75    15     15   16      0     15    14    93.33
  43   17    0  100.00 100.00    20     20   20      0     17    17   100.00
  44    9    0  100.00 100.00     8      8    8      0      9     9   100.00
  45   11    0  100.00 100.00     9      9    9      0     11    11   100.00
  46   17    0   92.31 100.00    12     13   12      0     17    16    94.12
  47    6    0  100.00 100.00     8      8    8      0      6     6   100.00
  48   14    0   85.71  85.71    12     14   14      0     14    13    92.86
  49    7    0  100.00 100.00     8      8    8      0      7     7   100.00
  50   22    0   84.21  84.21    16     19   19      2     22    20    90.91
  51   17    0  100.00 100.00    13     13   13      0     17    17   100.00
  52   13    0  100.00 100.00    12     12   12      0     13    13   100.00
  53    8    0  100.00 100.00    10     10   10      0      8     8   100.00
  54   20    0  100.00  95.00    19     19   20      0     20    20   100.00
  55   11    0  100.00 100.00    11     11   11      0     11    11   100.00
  56   19    0   80.00  84.21    16     20   19      0     19    17    89.47
  57   38    0   86.49  84.21    32     37   38      1     38    37    97.37
  58    6    0  100.00 100.00     5      5    5      0      6     5    83.33
  59    3    0  100.00 100.00     3      3    3      0      3     3   100.00
  60   12    0   90.00  90.00     9     10   10      0     12    12   100.00
  61    9    0  100.00 100.00     7      7    7      0      9     9   100.00
  62   20    0  100.00 100.00    17     17   17      0     20    20   100.00
  63   27    0   95.45  95.45    21     22   22      0     27    26    96.30
  64    5    0  100.00 100.00     5      5    5      0      5     5   100.00
  65    9    0  100.00 100.00     8      8    8      0      9     9   100.00
  66   35    0   88.89  85.71    24     27   28      1     35    34    97.14
  67    5    0  100.00 100.00     5      5    5      0      5     4    80.00
  68   10    0  100.00 100.00    14     14   14      0     10    10   100.00
  69   24    0  100.00  89.47    17     17   19      0     24    23    95.83
  70   20    0   88.89 100.00    16     18   16      0     20    19    95.00
  71   26    0   95.45  91.30    21     22   23      0     24    24   100.00
  72   21    0   88.24  93.75    15     17   16      0     19    19   100.00
  73   25    0  100.00  87.50    21     21   24      0     25    24    96.00
  74   42    0   83.78  88.57    31     37   35      3     42    42   100.00
  75   20    0   80.00  70.59    12     15   17      1     20    18    90.00
  76   11    0   87.50  87.50     7      8    8      0     11    11   100.00
