  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
 514   35    0   59.09  54.17    13     22   24      4     35    34    97.14
 515   19    0   57.14  60.00    12     21   20      6     17    17   100.00
 516   14    0  100.00 100.00    10     10   10      0     14    14   100.00
 517   14    0  100.00 100.00    12     12   12      0     14    13    92.86
 518   17    0  100.00 100.00    12     12   12      0     17    17   100.00
 519   17    0  100.00  93.75    15     15   16      0     17    17   100.00
 520   12    0   90.91  83.33    10     11   12      1     12    11    91.67
 521    6    0  100.00 100.00     6      6    6      0      6     6   100.00
 522   11    0   77.78  77.78     7      9    9      1      9     8    88.89
 523   10    0  100.00 100.00    13     13   13      0     10    10   100.00
 524    5    0   83.33 100.00     5      6    5      0      5     5   100.00
 525   19    0   68.00  68.00    17     25   25      7     18    18   100.00
 526    6    0  100.00  83.33     5      5    6      0      5     5   100.00
 527    7    0  100.00 100.00     6      6    6      0      7     6    85.71
 528   24    0   91.67  81.48    22     24   27      0     24    23    95.83
 529   18    0   60.00  60.00    12     20   20      6     18    18   100.00
 530    6    0  100.00 100.00     7      7    7      0      6     6   100.00
 531   18    0   86.67  76.47    13     15   17      2     18    17    94.44
 532   26    0   91.67  88.00    22     24   25      1     24    24   100.00
 533   19    0  100.00 100.00    12     12   12      0     17    17   100.00
 534   14    0  100.00  85.71    12     12   14      0     14    14   100.00
 535    6    0  100.00 100.00     5      5    5      0      6     6   100.00
 536    8    0   85.71  75.00     6      7    8      0      8     8   100.00
 537    8    0  100.00 100.00    11     11   11      0      8     8   100.00
 538   11    0  100.00 100.00    10     10   10      0     11    11   100.00
 539    9    0   90.00 100.00     9     10    9      0      9     9   100.00
 540    8    0  100.00 100.00     9      9    9      0      8     8   100.00
 541    8    0   80.00  80.00     4      5    5      0      6     6   100.00
 542    4    0   66.67  80.00     4      6    5      0      4     4   100.00
 543    5    0  100.00 100.00     5      5    5      0      5     5   100.00
 544    7    0  100.00 100.00     6      6    6      0      7     7   100.00
 545   12    0   91.67  84.62    11     12   13      1     10    10   100.00
 546    8    0   80.00  80.00     4      5    5      0      6     6   100.00
 547   11    0  100.00 100.00    10     10   10      0      9     9   100.00
 548    8    0   60.00  60.00     3      5    5      0      6     6   100.00
 549    9    0  100.00 100.00     9      9    9      0      8     8   100.00
 550   10    0  100.00 100.00    11     11   11      0      9     9   100.00
 551   18    0  100.00 100.00    20     20   20      0     18    18   100.00
 552    8    0  100.00 100.00     9      9    9      0      8     8   100.00
 553   18    0  100.00  88.89    16     16   18      0     18    18   100.00
 554   11    0   77.78  77.78     7      9    9      1      9     9   100.00
 555    8    0   80.00  57.14     4      5    7      0      6     6   100.00
 556   31    0   92.00  85.19    23     25   27      1     31    31   100.00
 557    8    0   60.00  60.00     3      5    5      0      6     6   100.00
 558   33    1    0.00   0.00     0      0    0      0      0     0     0.00
 559    7    0  100.00 100.00     5      5    5      0      7     7   100.00
 560    8    0   87.50  87.50     7      8    8      0      8     8   100.00
 561   34    0   80.00  80.00    24     30   30      2     34    34   100.00
 562   12    0   81.82  90.00     9     11   10      1     12    12   100.00
 563   25    0   82.76  77.42    24     29   31      2     25    24    96.00
 564   31    0   96.15  96.15    25     26   26      0     31    31   100.00
 565   23    0  100.00  96.55    28     28   29      0     23    23   100.00
 566   14    0   63.64  53.85     7     11   13      3     14    14   100.00
 567    9    0  100.00 100.00     8      8    8      0      9     9   100.00
 568   23    0   94.74  85.71    18     19   21      0     23    23   100.00
 569   19    0   86.96  83.33    20     23   24      3     19    19   100.00
 570    8    0  100.00 100.00     8      8    8      0      8     8   100.00
 571   26    0   88.00  84.62    22     25   26      1     26    26   100.00
 572   15    0   46.15  54.55     6     13   11      3     13    13   100.00
 573   23    0   88.46  85.19    23     26   27      2     23    23   100.00
 574    8    0  100.00 100.00     9      9    9      0      8     8   100.00
 575   19    0   55.56  66.67    10     18   15      4     17    17   100.00
 576    5    0  100.00 100.00     5      5    5      0      5     5   100.00
 577   14    0   85.71  80.00    12     14   15      2     14    14   100.00
 578    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 579    7    0  100.00 100.00     7      7    7      0      6     6   100.00
 580    7    0  100.00 100.00     8      8    8      0      7     7   100.00
 581    5    0  100.00 100.00     5      5    5      0      5     5   100.00
 582    7    0   80.00  66.67     4      5    6      0      6     6   100.00
 583    3    0   66.67  50.00     2      3    4      0      3     3   100.00
 584    7    0  100.00 100.00     7      7    7      0      7     6    85.71
 585   17    0   66.67  88.89     8     12    9      0     17    17   100.00
 586   16    0  100.00 100.00    17     17   17      0     16    16   100.00
 587    7    0  100.00 100.00     6      6    6      0      7     7   100.00
 588    9    0  100.00 100.00     8      8    8      0      9     9   100.00
 589   14    0  100.00 100.00    11     11   11      0     14    14   100.00
 590   10    0   88.89  88.89     8      9    9      0     10    10   100.00
 591    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 592   29    0   86.67  89.66    26     30   29      1     29    28    96.55
 593    8    0  100.00 100.00     9      9    9      0      8     8   100.00
 594   22    0   95.65  95.65    22     23   23      0     22    21    95.45
 595   17    0  100.00 100.00    19     19   19      0     17    17   100.00
 596   45    0   82.93  80.95    34     41   42      4     45    45   100.00
 597   19    0  100.00 100.00    17     17   17      0     19    19   100.00
 598   48    0   98.08  96.23    51     52   53      1     48    46    95.83
 599   23    0   88.24  93.75    15     17   16      0     23    22    95.65
 600    9    0  100.00 100.00    10     10   10      0      9     9   100.00
 601    9    0  100.00 100.00    10     10   10      0      9     9   100.00
 602   10    0  100.00 100.00    12     12   12      0     10    10   100.00
 603   15    0   86.67  92.86    13     15   14      0     15    15   100.00
 604   35    0   70.83  73.91    17     24   23      1     35    34    97.14
 605    4    0  100.00 100.00     4      4    4      0      4     3    75.00
 606    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 607    5    0  100.00 100.00     6      6    6      0      5     5   100.00
 608   10    0   72.73  80.00     8     11   10      1     10    10   100.00
 609    6    0  100.00 100.00     6      6    6      0      6     6   100.00
 610   17    0  100.00  92.86    13     13   14      0     17    16    94.12
 611   33    0  100.00  96.97    32     32   33      0     33    32    96.97
 612    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 613   28    1    0.00   0.00     0      0    0      0      0     0     0.00
 614    6    0  100.00 100.00     9      9    9      0      6     6   100.00
 615    6    0   83.33 100.00     5      6    5      0      6     6   100.00
 616   15    0  100.00 100.00    13     13   13      0     15    15   100.00
 617   17    0   65.00  72.22    13     20   18      3     17    17   100.00
 618   11    0   90.00 100.00     9     10    9      0     11    10    90.91
 619    7    0   66.67  66.67     4      6    6      1      7     6    85.71
 620   19    0  100.00 100.00    21     21   21      0     19    19   100.00
 621   37    0   88.24  90.91    30     34   33      2     37    36    97.30
 622   10    0  100.00 100.00    11     11   11      0     10    10   100.00
 623   38    0   68.42  61.90    26     38   42      8     38    38   100.00
 624   34    0   97.06 100.00    33     34   33      0     34    34   100.00
 625   25    0   82.61  82.61    19     23   23      1     25    24    96.00
 626   30    0   97.30 100.00    36     37   36      0     30    30   100.00
 627   11    0  100.00 100.00    12     12   12      0     11    11   100.00
 628   26    0   83.33  83.33    20     24   24      3     24    23    95.83
 629   13    0   83.33  66.67    10     12   15      3     13    13   100.00
 630    9    0  100.00 100.00     9      9    9      0      9     9   100.00
 631   16    0   82.35  82.35    14     17   17      3     16    15    93.75
 632   21    0   76.00  82.61    19     25   23      3     21    21   100.00
 633    7    0   80.00  80.00     4      5    5      0      5     5   100.00
 634    4    0  100.00 100.00     2      2    2      0      2     2   100.00
 635    5    0   83.33 100.00     5      6    5      0      5     5   100.00
 636   14    0  100.00 100.00    11     11   11      0     14    13    92.86
 637    8    0   60.00  50.00     3      5    6      0      6     6   100.00
 638   12    0   90.91  83.33    10     11   12      0     12    12   100.00
 639    8    0  100.00 100.00     6      6    6      0      8     8   100.00
 640    9    0   33.33  16.67     1      3    6      1      7     6    85.71
 641    7    0  100.00 100.00    11     11   11      0      7     7   100.00
 642    6    0   50.00  50.00     2      4    4      0      4     3    75.00
 643   13    0   60.00  60.00     6     10   10      1     11    10    90.91
 644    5    0  100.00 100.00     5      5    5      0      5     5   100.00
 645    8    0  100.00 100.00     8      8    8      0      8     8   100.00
 646    9    0   80.00  66.67     4      5    6      0      7     6    85.71
 647    6    0  100.00 100.00     5      5    5      0      4     4   100.00
 648   14    0   81.82  90.00     9     11   10      0     12    12   100.00
 649   10    0  100.00 100.00     8      8    8      0     10     9    90.00
 650   12    0  100.00 100.00    15     15   15      0     12    12   100.00
 651   10    0   91.67  91.67    11     12   12      0     10    10   100.00
 652   13    1    0.00   0.00     0      0    0      0      0     0     0.00
 653    7    0  100.00 100.00     6      6    6      0      7     7   100.00
 654   14    0   81.82  81.82     9     11   11      0     14    14   100.00
 655    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 656    5    0   75.00  75.00     3      4    4      0      3     3   100.00
 657    7    0   75.00  85.71     6      8    7      0      7     6    85.71
 658    6    0  100.00 100.00     6      6    6      0      5     5   100.00
 659    5    0  100.00 100.00     5      5    5      0      4     3    75.00
 660    6    0  100.00 100.00     6      6    6      0      6     6   100.00
 661    7    0  100.00 100.00     8      8    8      0      7     7   100.00
 662    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 663    5    0  100.00 100.00     5      5    5      0      5     5   100.00
 664   16    0  100.00 100.00    12     12   12      0     16    16   100.00
 665   13    0   66.67  66.67     6      9    9      1     13    13   100.00
 666    8    0  100.00 100.00     8      8    8      0      6     6   100.00
 667   11    0  100.00 100.00    12     12   12      0     11    11   100.00
 668   18    0   92.86 100.00    13     14   13      0     16    16   100.00
 669   10    0   57.14  80.00     4      7    5      0      8     7    87.50
 670    5    0  100.00 100.00     5      5    5      0      4     4   100.00
 671    7    0  100.00 100.00     5      5    5      0      6     6   100.00
 672    8    0  100.00 100.00     6      6    6      0      6     6   100.00
 673    4    0   50.00  33.33     1      2    3      0      3     3   100.00
 674    5    0   66.67  50.00     2      3    4      0      4     4   100.00
 675    7    0  100.00 100.00     6      6    6      0      6     6   100.00
 676    7    0  100.00 100.00     9      9    9      0      7     7   100.00
 677   17    0   57.14  66.67     8     14   12      4     16    15    93.75
 678   12    0   91.67 100.00    11     12   11      0     12    12   100.00
 679    7    0  100.00 100.00     6      6    6      0      6     6   100.00
 680   12    0   55.56  50.00     5      9   10      2     11    10    90.91
 681   18    0   63.64  58.33     7     11   12      2     15    15   100.00
 682    6    0  100.00 100.00     6      6    6      0      5     5   100.00
 683   15    0   84.62  84.62    11     13   13      1     13    13   100.00
