  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
 249   15    0   88.89  80.00     8      9   10      0     15    15   100.00
 250   10    0  100.00 100.00     8      8    8      0     10    10   100.00
 251   34    0   92.59  89.29    25     27   28      0     34    34   100.00
 252   36    0  100.00  93.10    27     27   29      0     36    35    97.22
 253   42    0   93.33  90.32    28     30   31      0     40    40   100.00
 254   20    0   81.82  81.82    18     22   22      3     20    20   100.00
 255   27    0  100.00 100.00    24     24   24      0     27    27   100.00
 256   21    0   88.24  83.33    15     17   18      0     19    19   100.00
 257   21    0   92.86  92.86    13     14   14      0     21    19    90.48
 258   32    0   95.24  86.96    20     21   23      0     30    29    96.67
 259   42    0   91.43  82.05    32     35   39      1     42    42   100.00
 260   15    0   82.35  87.50    14     17   16      2     15    15   100.00
 261   26    0  100.00 100.00    20     20   20      0     26    25    96.15
 262   16    0  100.00 100.00    13     13   13      0     16    16   100.00
 263    6    0   87.50  87.50     7      8    8      0      6     6   100.00
 264    6    0  100.00 100.00     4      4    4      0      6     6   100.00
 265   35    0   90.62  93.55    29     32   31      1     35    34    97.14
 266   27    0   95.24  83.33    20     21   24      1     23    23   100.00
 267   39    0   93.10  90.00    27     29   30      1     37    37   100.00
 268   32    0  100.00 100.00    32     32   32      0     32    32   100.00
 269   26    0   61.11  73.33    11     18   15      4     24    23    95.83
 270   43    0   87.50  90.32    28     32   31      2     41    41   100.00
 271   52    0   97.92  97.92    47     48   48      0     51    50    98.04
 272   32    0   96.30 100.00    26     27   26      0     31    27    87.10
 273   41    0   73.53  71.43    25     34   35      4     37    37   100.00
 274   35    0   93.33  87.50    28     30   32      1     34    33    97.06
 275   25    0   84.21  84.21    16     19   19      0     22    22   100.00
 276   33    0   60.71  60.71    17     28   28      7     31    31   100.00
 277   21    0   95.24  95.24    20     21   21      0     20    20   100.00
 278   31    0   76.00  76.00    19     25   25      3     30    29    96.67
 279    8    0  100.00 100.00     7      7    7      0      8     8   100.00
 280   32    0   69.70  60.53    23     33   38      9     30    29    96.67
 281   34    0   92.59  92.59    25     27   27      0     34    33    97.06
 282   48    0   90.91  78.95    30     33   38      0     48    47    97.92
 283   39    0   94.12  88.89    32     34   36      0     37    37   100.00
 284   29    0   86.36  86.36    19     22   22      1     29    28    96.55
 285   34    0   81.82  75.00    18     22   24      2     34    34   100.00
 286   10    0  100.00 100.00    11     11   11      0     10    10   100.00
 287    6    0  100.00 100.00     4      4    4      0      6     6   100.00
 288   40    0   74.19  69.70    23     31   33      5     40    40   100.00
 289   30    0   90.32  90.32    28     31   31      1     30    30   100.00
 290   21    0  100.00 100.00    18     18   18      0     21    21   100.00
 291    6    0  100.00 100.00     5      5    5      0      6     6   100.00
 292    4    0  100.00 100.00     4      4    4      0      4     4   100.00
 293   24    0  100.00 100.00    21     21   21      0     24    24   100.00
 294   15    0  100.00  92.31    12     12   13      0     15    15   100.00
 295   39    0   90.00  93.10    27     30   29      0     39    39   100.00
 296   74    0   77.78  87.50    49     63   56      3     72    71    98.61
 297    9    0  100.00 100.00    10     10   10      0      9     9   100.00
 298   50    0   97.22  94.59    35     36   37      0     48    47    97.92
 299   33    0  100.00  95.83    23     23   24      0     33    33   100.00
 300   27    0   96.55  96.55    28     29   29      0     27    27   100.00
 301   30    0  100.00  96.30    26     26   27      0     28    28   100.00
 302   51    0   82.22  84.09    37     45   44      1     51    50    98.04
 303   13    0  100.00 100.00    11     11   11      0     13    13   100.00
 304   26    0   82.35  82.35    14     17   17      2     24    22    91.67
 305   40    0   97.22 100.00    35     36   35      0     40    39    97.50
 306   34    0   83.33  76.92    30     36   39      2     34    33    97.06
 307   52    0   86.96  86.96    40     46   46      6     52    50    96.15
 308   15    0  100.00 100.00    15     15   15      0     15    15   100.00
 309    8    0   55.56  50.00     5      9   10      3      8     8   100.00
 310    6    0  100.00 100.00     4      4    4      0      6     6   100.00
 311   39    0   90.32  84.85    28     31   33      0     39    39   100.00
 312    9    0  100.00 100.00     8      8    8      0      9     9   100.00
 313   33    0   87.50  87.50    21     24   24      2     31    30    96.77
 314   13    0  100.00 100.00    11     11   11      0     13    12    92.31
 315   12    0   71.43  62.50     5      7    8      1     11    11   100.00
 316    7    0  100.00 100.00     5      5    5      0      7     7   100.00
 317   34    0   79.31  74.19    23     29   31      4     31    31   100.00
 318    8    0  100.00 100.00     6      6    6      0      8     8   100.00
 319   23    0  100.00 100.00    21     21   21      0     23    23   100.00
