  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
 645   10    0  100.00 100.00     9      9    9      0     10     9    90.00
 646   36    0   93.10  93.10    27     29   29      1     36    35    97.22
 647   45    0   97.44  90.48    38     39   42      0     45    45   100.00
 648    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 649   18    0  100.00  92.86    13     13   14      0     18    18   100.00
 650   18    0   80.00  72.73     8     10   11      2     18    17    94.44
 651   25    1    0.00   0.00     0      0    0      0      0     0     0.00
 652   28    0   95.24  95.24    20     21   21      0     26    26   100.00
 653   26    0   88.89  88.89    24     27   27      3     26    26   100.00
 654   33    1    0.00   0.00     0      0    0      0      0     0     0.00
 655   68    0   70.73  61.70    29     41   47      5     68    65    95.59
 656   20    0  100.00  94.44    17     17   18      0     20    18    90.00
 657   24    0   95.65  95.65    22     23   23      0     22    20    90.91
 658   45    0   84.09  88.10    37     44   42      4     43    43   100.00
 659    4    0  100.00 100.00     3      3    3      0      4     4   100.00
 660   38    0   84.38  87.10    27     32   31      3     38    35    92.11
 661   12    0  100.00  90.00     9      9   10      0     12    11    91.67
 662   19    1    0.00   0.00     0      0    0      0      0     0     0.00
 663   34    0   93.94  93.94    31     33   33      0     33    32    96.97
 664   18    0   92.31  85.71    12     13   14      0     18    18   100.00
 665   17    0   72.22  72.22    13     18   18      2     16    16   100.00
 666   32    1    0.00   0.00     0      0    0      0      0     0     0.00
 667   32    0  100.00 100.00    26     26   26      0     31    30    96.77
 668   32    0   85.19  85.19    23     27   27      3     31    29    93.55
 669   46    0   94.29  94.29    33     35   35      0     46    46   100.00
 670   21    1    0.00   0.00     0      0    0      0      0     0     0.00
 671   14    0  100.00 100.00    14     14   14      0     14    14   100.00
 672   41    0   97.44  92.68    38     39   41      1     41    41   100.00
 673   25    0  100.00  86.36    19     19   22      0     23    23   100.00
 674   12    0  100.00 100.00    12     12   12      0     12    11    91.67
 675   36    0  100.00  92.86    26     26   28      0     35    35   100.00
 676   11    0  100.00 100.00     9      9    9      0     11    11   100.00
 677   12    0   80.00  88.89     8     10    9      1     11    11   100.00
 678   23    1    0.00   0.00     0      0    0      0      0     0     0.00
 679    2    0   50.00  33.33     1      2    3      0      2     1    50.00
 680   35    0   90.32  84.85    28     31   33      2     35    35   100.00
 681    9    0   90.00  90.00     9     10   10      0      9     9   100.00
 682    5    0  100.00 100.00     5      5    5      0      4     4   100.00
 683    6    0  100.00 100.00     5      5    5      0      5     5   100.00
 684   16    0   92.31  92.31    12     13   13      0     16    16   100.00
 685   20    0  100.00 100.00    17     17   17      0     19    18    94.74
 686    7    1    0.00   0.00     0      0    0      0      0     0     0.00
 687   14    0  100.00  93.33    14     14   15      0     14    13    92.86
 688   25    0  100.00  95.45    21     21   22      0     25    25   100.00
 689   18    0   86.67  81.25    13     15   16      1     16    14    87.50
 690    7    0  100.00 100.00     6      6    6      0      5     5   100.00
 691   14    0   92.31  92.31    12     13   13      0     14    12    85.71
 692   36    0   96.97  88.89    32     33   36      0     36    36   100.00
 693   27    1    0.00   0.00     0      0    0      0      0     0     0.00
 694   14    0  100.00 100.00    12     12   12      0     14    14   100.00
